# r[L0]  F[rad]  Fp[rad/L0]
1.424715999999994542e+00 1.263067171185040749e+00 -8.445729946744120475e-01
1.429714999999994518e+00 1.258846936775264158e+00 -8.438583251889264503e-01
1.434713999999994494e+00 1.254630277045883258e+00 -8.431428178871555046e-01
1.439712999999994469e+00 1.250417196464075786e+00 -8.424263611670294027e-01
1.444711999999994445e+00 1.246207700055013579e+00 -8.417088433873585185e-01
1.449710999999994421e+00 1.242001793402072618e+00 -8.409901528623120459e-01
1.454709999999994396e+00 1.237799482647068405e+00 -8.402701778563093082e-01
1.459708999999994372e+00 1.233600774490516638e+00 -8.395488065793281773e-01
1.464707999999994348e+00 1.229405676191916763e+00 -8.388259271826338237e-01
1.469706999999994324e+00 1.225214195570054398e+00 -8.381014277549324598e-01
1.474705999999994299e+00 1.221026341003323967e+00 -8.373751963189548508e-01
1.479704999999994275e+00 1.216842121430064871e+00 -8.366471208284731453e-01
1.484703999999994251e+00 1.212661546348913655e+00 -8.359170891657567992e-01
1.489702999999994226e+00 1.208484625819166380e+00 -8.351849891394719227e-01
1.494701999999994202e+00 1.204311370461151443e+00 -8.344507084830290466e-01
1.499700999999994178e+00 1.200141791456608376e+00 -8.337141348533849694e-01
1.504699999999994153e+00 1.195975900549072213e+00 -8.329751558303036818e-01
1.509698999999994129e+00 1.191813710044260510e+00 -8.322336589160818088e-01
1.514697999999994105e+00 1.187655232810460371e+00 -8.314895315357442307e-01
1.519696999999994080e+00 1.183500482278912580e+00 -8.307426610377155463e-01
1.524695999999994056e+00 1.179349472444192637e+00 -8.299929346949733722e-01
1.529694999999994032e+00 1.175202217864583565e+00 -8.292402397066892528e-01
1.534693999999994007e+00 1.171058733662439844e+00 -8.284844632003631748e-01
1.539692999999993983e+00 1.166919035524539572e+00 -8.277254922344577936e-01
1.544691999999993959e+00 1.162783139702421309e+00 -8.269632138015388101e-01
1.549690999999993934e+00 1.158651063012705373e+00 -8.261975148319269380e-01
1.554689999999993910e+00 1.154522822837394269e+00 -8.254282821978691231e-01
1.559688999999993886e+00 1.150398437124151574e+00 -8.246554027182340096e-01
1.564687999999993862e+00 1.146277924386555958e+00 -8.238787631637388698e-01
1.569686999999993837e+00 1.142161303704327890e+00 -8.230982502627138819e-01
1.574685999999993813e+00 1.138048594723525708e+00 -8.223137507074106400e-01
1.579684999999993789e+00 1.133939817656709259e+00 -8.215251511608613333e-01
1.584683999999993764e+00 1.129834993283067579e+00 -8.207323382642942589e-01
1.589682999999993740e+00 1.125734142948508154e+00 -8.199351986451131058e-01
1.594681999999993716e+00 1.121637288565705104e+00 -8.191336189254456723e-01
1.599680999999993691e+00 1.117544452614102735e+00 -8.183274857312685668e-01
1.604679999999993667e+00 1.113455658139872240e+00 -8.175166857021142208e-01
1.609678999999993643e+00 1.109370928755818664e+00 -8.167011055013663201e-01
1.614677999999993618e+00 1.105290288641234797e+00 -8.158806318271496494e-01
1.619676999999993594e+00 1.101213762541698671e+00 -8.150551514238205675e-01
1.624675999999993570e+00 1.097141375768812654e+00 -8.142245510940638864e-01
1.629674999999993545e+00 1.093073154199880381e+00 -8.133887177116019274e-01
1.634673999999993521e+00 1.089009124277518614e+00 -8.125475382345208608e-01
1.639672999999993497e+00 1.084949313009200944e+00 -8.117008997192209918e-01
1.644671999999993472e+00 1.080893747966729990e+00 -8.108486893349948765e-01
1.649670999999993448e+00 1.076842457285634991e+00 -8.099907943792390430e-01
1.654669999999993424e+00 1.072795469664493018e+00 -8.091271022933039792e-01
1.659668999999993400e+00 1.068752814364167358e+00 -8.082575006789870509e-01
1.664667999999993375e+00 1.064714521206963527e+00 -8.073818773156723472e-01
1.669666999999993351e+00 1.060680620575697120e+00 -8.065001201781222262e-01
1.674665999999993327e+00 1.056651143412671079e+00 -8.056121174549233377e-01
1.679664999999993302e+00 1.052626121218559474e+00 -8.047177575675914518e-01
1.684663999999993278e+00 1.048605586051194249e+00 -8.038169291903377589e-01
1.689662999999993254e+00 1.044589570524250721e+00 -8.029095212704993045e-01
1.694661999999993229e+00 1.040578107805830044e+00 -8.019954230496362246e-01
1.699660999999993205e+00 1.036571231616934208e+00 -8.010745240852981119e-01
1.704659999999993181e+00 1.032568976229830682e+00 -8.001467142734595139e-01
1.709658999999993156e+00 1.028571376466302922e+00 -7.992118838716281148e-01
1.714657999999993132e+00 1.024578467695784090e+00 -7.982699235226239365e-01
1.719656999999993108e+00 1.020590285833370192e+00 -7.973207242790312232e-01
1.724655999999993083e+00 1.016606867337708664e+00 -7.963641776283220119e-01
1.729654999999993059e+00 1.012628249208760822e+00 -7.954001755186510536e-01
1.734653999999993035e+00 1.008654468985432429e+00 -7.944286103853196446e-01
1.739652999999993011e+00 1.004685564743071247e+00 -7.934493751779079229e-01
1.744651999999992986e+00 1.000721575090826931e+00 -7.924623633880716334e-01
1.749650999999992962e+00 9.967625391688703651e-01 -7.914674690780010291e-01
1.754649999999992938e+00 9.928084966454687743e-01 -7.904645869095374699e-01
1.759648999999992913e+00 9.888594877139142980e-01 -7.894536121739440526e-01
1.764647999999992889e+00 9.849155530893015653e-01 -7.884344408223238343e-01
1.769646999999992865e+00 9.809767340051517293e-01 -7.874069694966809863e-01
1.774645999999992840e+00 9.770430722098798482e-01 -7.863710955616174392e-01
1.779644999999992816e+00 9.731146099631019508e-01 -7.853267171366582478e-01
1.784643999999992792e+00 9.691913900317791208e-01 -7.842737331291964598e-01
1.789642999999992767e+00 9.652734556861954918e-01 -7.832120432680499400e-01
1.794641999999992743e+00 9.613608506957663780e-01 -7.821415481376193801e-01
1.799640999999992719e+00 9.574536193246752092e-01 -7.810621492126367249e-01
1.804639999999992694e+00 9.535518063273341616e-01 -7.799737488934940233e-01
1.809638999999992670e+00 9.496554569436674864e-01 -7.788762505421379378e-01
1.814637999999992646e+00 9.457646168942140941e-01 -7.777695585185192551e-01
1.819636999999992621e+00 9.418793323750458413e-01 -7.766535782175811864e-01
1.824635999999992597e+00 9.379996500525003000e-01 -7.755282161067726943e-01
1.829634999999992573e+00 9.341256170577244555e-01 -7.743933797640700778e-01
1.834633999999992549e+00 9.302572809810272236e-01 -7.732489779164903876e-01
1.839632999999992524e+00 9.263946898660379015e-01 -7.720949204790780174e-01
1.844631999999992500e+00 9.225378922036688856e-01 -7.709311185943464872e-01
1.849630999999992476e+00 9.186869369258803264e-01 -7.697574846721543240e-01
1.854629999999992451e+00 9.148418733992437213e-01 -7.685739324299956099e-01
1.859628999999992427e+00 9.110027514183037800e-01 -7.673803769336814407e-01
1.864627999999992403e+00 9.071696211987356762e-01 -7.661767346383913102e-01
1.869626999999992378e+00 9.033425333702963522e-01 -7.649629234300683311e-01
1.874625999999992354e+00 8.995215389695677688e-01 -7.637388626671353098e-01
